  ◆  swag        unittest • sources
  Test-ABI_AddressedNarrowIntegerHomeUsesNarrowLoad  ok (199 us)
  Test-ABI_SwagSimdArgsUseExtendedRegistersThenWideStackSlots  ok (0 us)
  Test-FFI_CallNativeNoArgBool  ok (309 us)
  Test-FFI_CallNativeU8       ok (97 us)
  Test-FFI_CallNativeI32      ok (29 us)
  Test-FFI_CallNativeF32      ok (29 us)
  Test-FFI_CallNativeF64      ok (37 us)
  Test-FFI_CallNativeF64StackArg  ok (96 us)
  Test-FFI_CallNativeMixedArgs  ok (29 us)
  Test-FFI_CallNativeStackArgs  ok (95 us)
  Test-FFI_CallNativePointerArg  ok (26 us)
  Test-ABI_SwagStructArgPassingMatchesNative  ok (0 us)
  Test-FFI_CallSwagStructByValueInteropDevMode  ok (357 ms)
  Test-FFI_CallSwagStructByValueInteropRelease  ok (273 ms)
  Test-FFI_CallNativeStructByValueRegister  ok (121 us)
  Test-FFI_CallNativeStructByValueStack  ok (63 us)
  Test-FFI_CallNativeStructByReferenceCopy  ok (37 us)
  Test-FFI_CallNativeStructReturnByValueRegister  ok (35 us)
  Test-FFI_CallNativeStructReturnByReference  ok (32 us)
  Test-ConstantManager_CopiesBorrowedStructPayloadOutsideDataSegment  ok (23 us)
  Test-ConstantManager_StoresNullableCStringFromBlockPointer  ok (5 us)
  Test-ConstantValue_MakesNullableCStringFromRuntimePointer  ok (0 us)
  Test-ConstantManager_CopiesBorrowedArrayPayloadOutsideDataSegment  ok (3 us)
  Test-ConstantManager_DeduplicatesBorrowedArrayPayloadsByValue  ok (1 us)
  Test-ConstantManager_CachesZeroPayloadConstantsByType  ok (8 us)
  Test-ConstantManager_CopiesBorrowedSlicePayloadOutsideDataSegment  ok (3 us)
  Test-ConstantManager_AcceptsEmptyBorrowedSlicePayloads  ok (4 us)
  Test-ConstantManager_DistinguishesPresentEmptySlicePayloads  ok (29 us)
  Test-ConstantManager_DeduplicatesMaterializedArrayPayloadConstants  ok (6 us)
  Test-ConstantManager_DoesNotDeduplicateMaterializedArrayPayloadsWithDifferentRelocations  ok (3 us)
  Test-ConstantManager_OwnsAggregateElementsAfterInputsAreDestroyed  ok (164 us)
  Test-ConstantManager_EnrichesStorageReferencesWithoutMutatingInputs  ok (82 us)
  Test-Compiler_NewScriptCommandParsesDefaultPath  ok (57 us)
  Test-Compiler_CommandLineHelpStopsBeforeCompilation  ok (101 us)
  Test-Compiler_NewModuleCommandParsesWorkspace  ok (45 us)
  Test-Compiler_DocSearchPreservesLiteralCode  ok (10 us)
  Test-Compiler_DocCommandParsesOptions  ok (398 us)
  Test-Compiler_DocMarkdownRendersSupportedBlocks  ok (96 us)
  Test-Compiler_DocBlockCommentsPreserveCodeIndentation  ok (12 us)
  Test-Compiler_DocMarkdownRendersCompleteLists  ok (63 us)
  Test-Compiler_DocMarkdownRendersHeaderlessTableAndNestedInline  ok (15 us)
  Test-Compiler_LegacyStaticControlDirectivesAreNotKeywords  ok (2 us)
  Test-Compiler_AutoInlineCostPricesCallsAndRewardsOneModuleCallSite  ok (388 us)
  Test-Compiler_ExplicitInlineExpandsCrossFileBody  ok (197 ms)
  Test-Compiler_InMemorySourceRunsSemaWithoutDiskIO  ok (93 us)
  Test-Compiler_InMemorySourceKeepsFormatCommandGlobalIfDuringFormat  ok (50 us)
  Test-Compiler_InMemorySourceSkipsFalseGlobalIf  ok (31 us)
  Test-Compiler_InMemorySourceSkipsTestCommandGlobalIfOutsideTests  ok (31 us)
  Test-Compiler_InMemorySourceKeepsTestCommandGlobalIfDuringTests  ok (40 us)
  Test-Compiler_GenericUnionDeductionRemainsStableForHistoricalRandomSeed1002  ok (205 ms)
  Test-Compiler_GenericUnionDeductionRemainsStableForHistoricalRandomSeed1009  ok (186 ms)
  Test-Compiler_GenericUnionDeductionRemainsStableForHistoricalRandomSeed1032  ok (148 ms)
  Test-Compiler_GenericUnionDeductionRemainsStableForHistoricalRandomSeed1143  ok (151 ms)
  Test-Compiler_AstVisitPreservesSiblingsAcrossPauseSkipAndRestart  ok (124 us)
  Test-Compiler_AstVisitResolvesChildrenWithoutFollowingActiveAncestors  ok (51 us)
  Test-Compiler_MessagePassSkipsWithoutListeners  ok (426 us)
  Test-Compiler_MessagePassQueuesOnlyOncePerListener  ok (397 us)
  Test-Compiler_MessageAliasPayloadUsesUnderlyingType  ok (7 us)
  Test-Compiler_DiagnosticWarningSeverityColorIsMagenta  ok (0 us)
  Test-Compiler_DiagnosticCatalogFollowsSwagMessageStyle  ok (441 us)
  Test-Compiler_AssertDiagnosticPreservesLiteralSuffixQuotes  ok (57 us)
  Test-Compiler_DiagnosticEscapesQuotedArgumentTicks  ok (14 us)
  Test-Compiler_DiagnosticArgumentCountDoesNotRepeatUnit  ok (130 us)
  Test-Compiler_DiagnosticRemovesUnexpandedWordPlaceholders  ok (13 us)
  Test-Compiler_NativeExitCodeDiagnosticShowsDecimalAndHex  ok (11 us)
  Test-Compiler_DiagnosticEscapesQuotedArgumentWithoutBreakingHelpSplit  ok (12 us)
  Test-NodePayload_ConcurrentUpdatesPreserveDisjointState  ok (9 ms)
  Test-Compiler_CommandLineTagsReachSema  ok (154 ms)
  Test-Compiler_InternalTagPrecedesUserOverride  ok (161 ms)
