  ◆  swag        unittest • sources
  Test-Compiler_TestCommandKeepsExplicitSandboxRoot  ok (1 us)
  Test-Compiler_TestCommandGrantsTheModuleAsCorpus  ok (8 us)
  Test-Compiler_TestCommandGrantsTheWorkspaceWithoutAModule  ok (2 us)
  Test-Compiler_SmokeCommandGrantsNoCorpus  ok (1 us)
  Test-DebugInfo_EmitsWindowsSymbolAndTypeRecords  ok (80 us)
  Test-DebugInfo_PdbInfoEmitsWindowsBuildInfo  ok (22 us)
  Test-DebugInfo_EmitsWindowsVariableAndConstantRecords  ok (37 us)
  Test-DebugInfo_UsesPerVariableBaseRegistersForRegRelativeSymbols  ok (27 us)
  Test-DebugInfo_CollapsesConsecutiveSameLineEntries  ok (53 us)
  Test-DebugInfo_SkipsNoStepLineEntries  ok (31 us)
  Test-DebugInfo_FirstLineCoversEntry  ok (26 us)
  Test-DebugInfo_ResolvesNoStepBackendSourceInfo  ok (7 us)
  Test-DebugInfo_UsesOwnerSourceFileForGeneratedViews  ok (38 us)
  Test-DebugInfo_UsesDebugSourceCodeRefForGeneratedViewLines  ok (146 us)
  Test-DebugInfo_CompilerTestFunctionsPreserveStackDebugMetadata  ok (166 ms)
  Test-DebugInfo_RuntimeStorageLocalsStayOutOfCodeView  ok (163 ms)
  Test-DebugInfo_CompilerPrivateGlobalsReachCodeViewDataSymbols  ok (166 ms)
  Test-DebugInfo_EmitsWindowsSourceChecksums  ok (70 us)
  Test-EncodeX64_Flow         ok (376 us)
  Test-EncodeX64_Load         ok (769 us)
  Test-EncodeX64_CmpAndCond   ok (218 us)
  Test-EncodeX64_VecPackedOps  ok (1 ms)
  Test-EncodeX64_LegalizeLargeCmpRegImmPreservesLhs  ok (38 us)
  Test-EncodeX64_UnaryOps     ok (119 us)
  Test-EncodeX64_BinaryRegRegOps  ok (782 us)
  Test-EncodeX64_BinaryRegMemOps  ok (60 us)
  Test-EncodeX64_BinaryMemRegOps  ok (135 us)
  Test-EncodeX64_BinaryImmOps  ok (486 us)
  Test-EncodeX64_TernaryAndConvert  ok (185 us)
  Test-EncodeX64_UnwindFromMicro  ok (32 us)
  Test-EncodeX64_UnwindFramePointerSetupAfterStackShape  ok (21 us)
  Test-EncodeX64_UnwindStopsBeforeStackStoreBody  ok (24 us)
  Test-EncodeX64_UnwindUpdatesFramePointerWhenAssignedTwice  ok (19 us)
  Test-EncodeX64_UnwindLocalStackBaseIsNotAFrameRegister  ok (18 us)
  Test-EncodeX64_UnwindStopsAfterBodyStart  ok (14 us)
  Test-FormatAlign_ConsecutiveAssignments  ok (306 us)
